Talks_Participation_19_20,Wanted_Programming_Languages,Coding_as_Hobby,Teaching_Problems_POV,Professional_Prod_Env,Open_Source_Participation,Daily_Web_Frameworks,Graduation_Employment_Gap,Preferred_Company_Type,Coding_Experience,Fav_Programming_Languages,Online_InPerson_Preferrence,Side_Projects,Daily_Paltforms,Blog_Posting,Salary_Range_DH,Country,Gender,Reentery_Plans,Learning_Platforms,Primary_OS,Job_Title,Wanted_Web_Frameworks,Local_Dialect_Content,Covid_Remote_Adoption,Teaching_Jobs_Gap,Overtime_Frequency,Daily_Programming_Languages,Moroccan_Community_AutoEval,Help_Sources,Local_Community_Membership,Education,Daily_IDE,Moroccan_DevC_Membership,startTime,Continuous_Learning_Frequency,Event_Attendence_19_20,Immigration_Plans,Wanted_Platforms,Job_Satisfaction,Preferred_Job_Criteria,Employment_Status,Read_Write_Languages,English_Barrier,Age
0,['JavaScript'],Yes,['Companies engagement with academia'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Spring Ecosystem'],0 months,Startup,Less than 1 year,['Java'],Li ja bismilah,For learning,['Apache Spark'],Thinking of it.,6 000 - 8 000,Morocco,Male,No,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",Linux-based,"Developer, back-end","['React.js', 'Angular', 'Angular.js']",Spoken,We were doing remote before,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['C#', 'C']",Not Bad,"['Google it', 'Stackoverflow', 'Call a coworker or friend']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603211039940,Every few months,0,Yes,"['Node.js', '.NET']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'Amazigh', 'French', 'English']",No,20 to 24 years
0,"['C#', 'TypeScript', 'Go']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)']","['on-premise', 'Hybrid Cloud', 'Managed PaaS (heroku, app platform ...)']",['I don’t have an account on Github (or alternatives).'],['Other'],0 months,Medium company,1-3 years,"['JavaScript', 'Java', 'Kotlin', 'Swift', 'Objective-C', 'Dart']",Li ja bismilah,For profit,"['Node.js', 'Flutter']","No, I am not interested.",8 000 - 10 000,Morocco,Male,No,"['YouTube', 'Official documentation', 'Blog posts']",MacOS,"Developer, mobile","['React.js', 'Angular', 'ASP.NET Core', 'Spring Ecosystem']",Both,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['Java', 'Kotlin', 'Swift', 'Objective-C']",Good,"['Google it', 'Do other work and come back later.']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603210400558,Once a year,1-3,No,"['.NET', 'Unity 3D']",Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,20 to 24 years
1 - 3 talks,"['Kotlin', 'R']",Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",['Not Sure'],['I am maintaining my own project'],"['jQuery', 'Other']",Few months,Startup,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'PHP', 'C++', 'VBA', 'Dart']",Li ja bismilah,For profit,"['TensorFlow', 'Flutter']",Yes more than 10 blog posts,10 000 - 13 000,Morocco,Male,Yes,['YouTube'],Windows,"Developer, front-end",['Next'],Spoken,No remote policy yet,Enough to start,Often: 1-2 days per week or more,"['Python', 'Dart']",Not Bad,['Google it'],NO,Bac +5,"['VS Code', 'Sublime', 'Atom']",I don’t know Facebook Developer circles,1603891477079,Every few months,1-3,No,"['TensorFlow', 'Flutter']",Neither satisfied nor dissatisfied,"['Office environment or company culture', 'Salary']","Freelancer, or self-employed","['Arabic', 'French', 'English']",No,20 to 24 years
1 - 3 talks,['Go'],Yes,['Companies engagement with academia'],['Hybrid Cloud'],"['Yes, few PRs in multiple projects']",['React.js'],0 months,Small company,5-10 years,"['Java', 'Haskell']",In-person events?,For learning,"['Node.js', 'React Native', 'Ansible', 'Apache Spark']",Yes more than 10 blog posts,> 25 000,Morocco,Male,Yes,['Blog posts'],MacOS,Senior executive/VP,['Other'],Spoken,We were doing remote before,Enough to start,Often: 1-2 days per week or more,['Java'],Not Bad,['Do other work and come back later.'],Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603215859827,Once a year,More than 3,No,['TensorFlow'],Very satisfied,['Office environment or company culture'],Employed full-time,"['Arabic', 'French', 'English']",No,35 to 39 years
0,"['Python', 'Swift', 'Objective-C']",Yes,['Academic defined subjects (system)'],"['Full Cloud', 'on-premise', 'Hybrid Cloud']","['Yes, few PRs in multiple projects', 'I am maintaining my own project']","['jQuery', 'React.js', 'Angular', 'Spring Ecosystem', 'Laravel', 'Symfony']",Less than 1 year,Multinational company,5-10 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Java', 'C#', 'PHP', 'TypeScript', 'C', 'Kotlin', 'Dart']",In-person events?,For learning,"['React Native', 'Flutter']",Thinking of it.,13 000 - 15 000,Morocco,Male,No,"['YouTube', 'Official documentation', 'Others']",Windows,"Developer, full-stack","['Angular', 'Express', 'Laravel']",No,We were doing remote before,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Java', 'PHP', 'TypeScript', 'Dart']",Not Bad,"['Google it', 'Stackoverflow']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code', 'Eclipse']",I don’t know Facebook Developer circles,1603542817961,Every few months,1-3,Yes,['Node.js'],Very satisfied,"['Office environment or company culture', 'Opportunities for professional development', 'Salary']","Freelancer, or self-employed","['French', 'English']",No,20 to 24 years
0,"['Go', 'Swift', 'Scala']",Yes,['Companies engagement with academia'],['Not Sure'],"['Yes, few PRs in multiple projects']",['Angular'],,Multinational company,3-5 years,"['JavaScript', 'Python', 'TypeScript', 'C', 'Go', 'Swift']",Live/online events,For profit,"['Node.js', 'Pandas', 'TensorFlow', 'Keras']",Thinking of it.,,Morocco,Male,Yes,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",MacOS,Data scientist or machine learning specialist,['React.js'],Spoken,,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'TypeScript']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603707823850,Once every few years,1-3,No,"['Flutter', 'Torch/PyTorch']",Very satisfied,"['Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'The industry that I’d be working in', 'Salary']",Student,"['Arabic', 'French', 'English']",No,20 to 24 years
0,"['JavaScript', 'SQL', 'Go']",No,['Teachers'],['Not Sure'],"['Yes, few PRs in multiple projects']",['React.js'],More than 1 year,Small company,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'TypeScript']",Live/online events,For profit,['Node.js'],Thinking of it.,< 6 000,Morocco,Male,No,"['YouTube', 'Blog posts']",Windows,"Developer, front-end","['Vue.js', 'Gatsby']",Spoken,No remote policy yet,Not enough,Never,"['JavaScript', 'HTML/CSS  😉', 'TypeScript']",Not Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.']",NO,Bac +2,['VS Code'],Yes,1603216673772,Once a year,0,Yes,['React Native'],Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Remote work options']","Freelancer, or self-employed","['Arabic', 'English']",No,25 to 29 years
0,"['TypeScript', 'Go']",Yes,['Academic defined subjects (system)'],['Not Sure'],['I am maintaining my own project'],"['React.js', 'Express']",,Startup,1-3 years,"['JavaScript', 'Java', 'Dart']",Li ja bismilah,For learning,"['Node.js', 'Flutter']",Thinking of it.,,Morocco,Male,,['YouTube'],Windows,"Developer, back-end","['Spring Ecosystem', 'Next']",Both,,Enough to start,,"['JavaScript', 'Java']",Good,"['Google it', 'Stackoverflow']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603216692824,Once a decade,0,Yes,['TensorFlow'],,"['Office environment or company culture', 'Opportunities for professional development', 'How widely used or impactful my work output would be', 'Salary']",Student,"['Arabic', 'French']",Yes,20 to 24 years
0,['Kotlin'],Yes,['Academic defined subjects (system)'],['Full Cloud'],['I am maintaining my own project'],"['jQuery', 'Angular', 'Spring Ecosystem']",0 months,Multinational company,3-5 years,"['JavaScript', 'Java', 'TypeScript']",Li ja bismilah,For profit,['Cordova'],Thinking of it.,13 000 - 15 000,Morocco,Male,Yes,"['Paid platforms', 'Books', 'Official documentation']",Windows,"Developer, full-stack",['React.js'],No,The company started remote after covid,Not enough,Sometimes: 1-2 days per month but less than weekly,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Java', 'TypeScript']",Not Bad,"['Google it', 'Call a coworker or friend']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603642477863,Once a year,1-3,Yes,"['React Native', 'Ansible']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule']",Employed full-time,"['Arabic', 'French', 'English']",No,30 to 34 years
0,"['C++', 'C']",Yes,"['Students', 'Teachers', 'Companies engagement with academia']",['Hybrid Cloud'],['I am maintaining my own project'],"['ASP.NET', 'ASP.NET Core']",Less than 1 year,Medium company,3-5 years,"['SQL', 'Bash/Shell/PowerShell', 'C#']",Li ja bismilah,NO,['.NET'],Yes more than 10 blog posts,20 000 - 25 000,Europe,Male,Yes,"['Books', 'Official documentation', 'Blog posts']",Windows + WSL2,"Developer, back-end",['React.js'],No,The company started remote after covid,Enough to start,Often: 1-2 days per week or more,"['SQL', 'Bash/Shell/PowerShell', 'C#']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +5,"['VS Code', 'Other']",NO,1603831994310,Once every few years,0,Yes,['Other'],Very satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development']",Employed full-time,"['Arabic', 'French', 'English']",No,25 to 29 years
